Steps    Q        Rg       Backbone Rama     Contact  Fragment Membrane ER       TBM_Q    Beta     Pap      Helical  Debye_huckel Total   
42       0.86     285.54   236.39   -870.28  -87.45   0.00     0.00     0.00     0.00     -35.44   0.00     0.00     -6.22    -762.99 
43       0.88     285.91   212.08   -875.95  -88.58   0.00     0.00     0.00     0.00     -35.00   0.00     0.00     -5.87    -793.32 
44       0.88     292.01   221.02   -873.71  -88.55   0.00     0.00     0.00     0.00     -35.69   0.00     0.00     -6.18    -783.12 
45       0.88     296.22   221.24   -868.62  -88.31   0.00     0.00     0.00     0.00     -38.16   0.00     0.00     -6.36    -780.21 
46       0.87     299.96   229.76   -879.58  -87.89   0.00     0.00     0.00     0.00     -35.00   0.00     0.00     -6.47    -779.18 
47       0.87     306.76   223.27   -879.38  -88.34   0.00     0.00     0.00     0.00     -35.78   0.00     0.00     -6.28    -786.51 
48       0.88     307.42   242.67   -879.92  -87.91   0.00     0.00     0.00     0.00     -37.91   0.00     0.00     -6.12    -769.20 
49       0.92     308.57   218.65   -872.40  -89.28   0.00     0.00     0.00     0.00     -38.33   0.00     0.00     -6.38    -787.74 
50       0.88     317.91   215.29   -877.84  -88.38   0.00     0.00     0.00     0.00     -36.78   0.00     0.00     -6.70    -794.41 
51       0.83     312.98   209.42   -874.95  -89.04   0.00     0.00     0.00     0.00     -32.16   0.00     0.00     -6.25    -792.98 
52       0.87     318.35   215.86   -870.52  -87.94   0.00     0.00     0.00     0.00     -34.20   0.00     0.00     -6.34    -783.14 
53       0.85     320.58   234.51   -874.93  -88.54   0.00     0.00     0.00     0.00     -32.78   0.00     0.00     -6.06    -767.80 
54       0.89     318.37   212.13   -871.91  -89.41   0.00     0.00     0.00     0.00     -37.29   0.00     0.00     -6.52    -792.99 
55       0.90     324.95   230.69   -877.92  -89.05   0.00     0.00     0.00     0.00     -38.69   0.00     0.00     -6.64    -781.61 
56       0.88     329.30   223.02   -866.79  -89.27   0.00     0.00     0.00     0.00     -36.56   0.00     0.00     -6.62    -776.22 
57       0.89     326.58   214.56   -874.97  -88.81   0.00     0.00     0.00     0.00     -37.20   0.00     0.00     -6.45    -792.86 
58       0.87     326.78   224.37   -872.98  -88.60   0.00     0.00     0.00     0.00     -35.69   0.00     0.00     -6.52    -779.43 
59       0.85     331.35   230.51   -874.43  -88.19   0.00     0.00     0.00     0.00     -33.92   0.00     0.00     -6.55    -772.57 
60       0.87     324.97   213.15   -884.94  -87.80   0.00     0.00     0.00     0.00     -35.25   0.00     0.00     -6.19    -801.04 
61       0.83     317.34   204.48   -877.90  -88.87   0.00     0.00     0.00     0.00     -30.85   0.00     0.00     -6.07    -799.22 
62       0.89     320.49   266.52   -872.42  -88.73   0.00     0.00     0.00     0.00     -33.57   0.00     0.00     -6.45    -734.66 
63       0.87     327.63   218.09   -878.50  -88.97   0.00     0.00     0.00     0.00     -33.91   0.00     0.00     -6.10    -789.39 
