#"Step","Potential Energy (kJ/mole)","Temperature (K)"
6640000,-3281.037693273276,287.9098297941876
6680000,-3291.1657581329346,304.9875766677116
6720000,-3254.298538208008,316.35183736559685
6760000,-3311.9446911364794,284.9189156872487
6800000,-3295.6853533387184,296.0190322284737
6840000,-3337.01043510437,305.73075208580286
6880000,-3290.330406188965,329.07248022602386
6920000,-3304.8234251737595,260.9341313790988
6960000,-3195.832488268614,282.69713727076703
7000000,-3265.513397404924,280.37221311119305
7040000,-3279.258399859071,325.5268467951134
7080000,-3258.085294187069,308.1498905212004
7120000,-3255.92705065012,301.84135275661544
7160000,-3286.8731305174297,288.5609172639005
7200000,-3408.0068345069885,283.4774416964928
7240000,-3302.115400850773,293.9847428010404
7280000,-3314.613935135305,325.7252675299523
7320000,-3261.839022487402,289.3210056179903
7360000,-3202.5435904860497,308.4117330849942
7400000,-3241.505074337125,316.5979556548836
7440000,-3236.6248564720154,279.80931499261425
7480000,-3315.334143191576,289.814800450522
7520000,-3320.1090761721134,282.2910436033901
7560000,-3384.6348734498024,306.4333337885288
7600000,-3254.7918004989624,306.3324873287498
7640000,-3351.4778792858124,307.7318962049072
7680000,-3412.851146697998,304.2044831039775
7720000,-3274.707570195198,291.37111890794745
7760000,-3341.9759569838643,287.4835784119057
7800000,-3287.178991427645,306.6583825208084
7840000,-3181.829542160034,307.6220629198385
7880000,-3278.910320073366,293.7454613352126
7920000,-3260.1866188049316,296.06930643458236
7960000,-3260.2331153154373,309.5619038294453
8000000,-3279.112500399351,303.31651667455577
8040000,-3254.709565371275,313.21982114608755
8080000,-3172.3190984930843,333.05318387976587
8120000,-3320.8122791051865,295.1305297848933
8160000,-3300.628977894783,304.20404203688787
8200000,-3319.0654878616333,299.14067493799274
8240000,-3347.2815650701523,274.7481563030403
8280000,-3151.1378561258316,311.64332082935886
8320000,-3241.761770017445,285.7059148276465
8360000,-3241.9716097451746,308.2470298814312
8400000,-3292.977373600006,298.7884308243583
8440000,-3261.8385494947433,312.83312758789555
8480000,-3253.7935119122267,310.65802218358573
8520000,-3304.604671098292,287.5538644406038
8560000,-3362.304755076766,285.8056005777764
8600000,-3212.291318655014,285.1558223936881
8640000,-3167.9946580529213,340.4019736043822
8680000,-3225.2943560534623,313.54337227624495
8720000,-3316.1303791999817,309.59377313495065
8760000,-3327.5696692466736,294.08758777703775
8800000,-3172.364118022495,321.78821235017784
8840000,-3316.3505810275674,306.85199946932244
8880000,-3252.276162330061,297.5639912284796
8920000,-3233.158054023981,312.9431077375177
8960000,-3233.8259550333023,288.5762627072394
9000000,-3230.718051031232,306.9115793445118
9040000,-3326.573506295681,287.21745492218065
9080000,-3375.355520270765,308.16954347961797
9120000,-3334.245283126831,308.7159490975386
9160000,-3361.6419538259506,332.06034686663367
9200000,-3272.4361679553986,299.0675022048608
9240000,-3329.8447593823075,316.1978324522263
